UserID,ProductID,Rating,ReviewCount,Category,Brand,Name,Price,ImageURL,Description,Tags
8.0,8.0,4.5,29221,"beauty, hair, care, hair, color, permanent, hair, color",clairol,clairol nice n easy permanent color 7106a natural dark neutral blonde 10 kit,104,https://i5.walmartimages.com/asr/e3a601c2-6a2b-4cc8-bb35-a9049930ded9_1.ab14e053feea88a9026baeca4d49cb77.jpeg,clairol nice n easy permanent color gives 8 weeks true color salon tones blend highlights lowlights expertly designed work unique hair stylish look want neutral blonde color offers salon quality permanent hair color cost easily color looking vibrant clairol colorseal conditioner locks softness shine sold separately cover grays colorings try nice n easy root touch blend seamlessly color natural dark hair color easy apply fresh looking color right comfort home comes 1 kit providing need color hair desired available shades clairol nice n easy permanent color lovely addition haircare routine clairol nice n easy permanent color natural dark neutral blonde kit provides 8 weeks color 3 salon tones offer blend highlights lowlights salon quality permanent color neutral blonde color easy use available ultra light natural blo 118 natural medium 2 natural black soft black natural blue black natural darkest brown natural dark brown natural dark natural dark auburn dark caramel brown,"beauty, hair, care, hair, color, permanent, hair, color, clairol, clairol, nice, n, easy, permanent, color, gives, 8, weeks, true, color, salon, tones, blend, highlights, lowlights, expertly, designed, work, unique, hair, stylish, look, want, neutral, blonde, color, offers, salon, quality, permanent, hair, color, cost, easily, color, looking, vibrant, clairol, colorseal, conditioner, locks, softness, shine, sold, separately, cover, grays, colorings, try, nice, n, easy, root, touch, blend, seamlessly, color, natural, dark, hair, color, easy, apply, fresh, looking, color, right, comfort, home, comes, 1, kit, providing, need, color, hair, desired, available, shades, clairol, nice, n, easy, permanent, color, lovely, addition, haircare, routine, clairol, nice, n, easy, permanent, color, natural, dark, neutral, blonde, kit, provides, 8, weeks, color, 3, salon, tones, offer, blend, highlights, lowlights, salon, quality, permanent, color, neutral, blonde, color, easy, use, available, ultra, light, natural, blo, 118, natural, medium, 2, natural, black, soft, black, natural, blue, black, natural, darkest, brown, natural, dark, brown, natural, dark, natural, dark, auburn, dark, caramel, brown"
8.0,79.0,4.5,2,"beauty, nail, care, nail, polish, nail, lacquer",orly,orly nail lacquer for women 20634 red carpet 06 oz,113,https://i5.walmartimages.com/asr/e37d0f7d-defd-49db-b6c3-6495a0a653a9_1.3a276a314ca7494633cfb4b20922a36c.jpeg,orly lacquer free dbp toluene formaldehyde features award winning gripper cap fetters streak free coverage brush ability fast drying shade formulated uv inhibitors prevent fading yellowing orly nail lacquer women 20634 red carpet oz introduced design house orly fast drying shade formulated uv inhibitors prevent fading yellowing,"beauty, nail, care, nail, polish, nail, lacquer, orly, orly, lacquer, free, dbp, toluene, formaldehyde, features, award, winning, gripper, cap, fetters, streak, free, coverage, brush, ability, fast, drying, shade, formulated, uv, inhibitors, prevent, fading, yellowing, orly, nail, lacquer, women, 20634, red, carpet, oz, introduced, design, house, orly, fast, drying, shade, formulated, uv, inhibitors, prevent, fading, yellowing"
5.0,52.0,4.7,388,"personal, care, personal, care, brand, wahl, wahl",wahl,wahl color pro plus haircut kit 79752t,139,https://i5.walmartimages.com/asr/244aef35-aea3-4e5c-b7d6-14c4dba8c87b.913ab3197372f743fbbeb449b2755007.jpeg,wahl color pro plus clipper kit features multi cut clipper adjustable taper control powerdrive motor excellent performance color key clipper corresponding color coded combs provide quick identification selecting attachment guard need right time includes durable storage case hair cutting accessories wahl color pro plus t feature color coded guide combs finding remembering everyones favorite hair length easier corresponding correct comb right cutting length simple easy attachment guards feature 2 wahl heavy duty motor delivers exceptional power snag cutting plus self sharpening precision ground blades cut hair types stay sharp longer feature 3 smooth easy haircuts variety cutting lengths adjusting trim length pain free quickly reference color key face clipper attach corresponding colored clipper comb attachment feature 4 22 piece grooming kit featuring 14 guide combs 1 cutting lengths left right ear tapers eyebrow trim comb ear trimming comb blade oil detail cleaning brush barber comb styling comb blade guard,"personal, care, personal, care, brand, wahl, wahl, wahl, wahl, color, pro, plus, clipper, kit, features, multi, cut, clipper, adjustable, taper, control, powerdrive, motor, excellent, performance, color, key, clipper, corresponding, color, coded, combs, provide, quick, identification, selecting, attachment, guard, need, right, time, includes, durable, storage, case, hair, cutting, accessories, wahl, color, pro, plus, t, feature, color, coded, guide, combs, finding, remembering, everyones, favorite, hair, length, easier, corresponding, correct, comb, right, cutting, length, simple, easy, attachment, guards, feature, 2, wahl, heavy, duty, motor, delivers, exceptional, power, snag, cutting, plus, self, sharpening, precision, ground, blades, cut, hair, types, stay, sharp, longer, feature, 3, smooth, easy, haircuts, variety, cutting, lengths, adjusting, trim, length, pain, free, quickly, reference, color, key, face, clipper, attach, corresponding, colored, clipper, comb, attachment, feature, 4, 22, piece, grooming, kit, featuring, 14, guide, combs, 1, cutting, lengths, left, right, ear, tapers, eyebrow, trim, comb, ear, trimming, comb, blade, oil, detail, cleaning, brush, barber, comb, styling, comb, blade, guard"
8.0,7.0,4.6,112,"household, essentials, cleaning, supplies, dishwashing, dish, additives",finish,finish inwash dishwasher cleaner clean hidden grease and grime 3ct,145,https://i5.walmartimages.com/asr/a3e2e187-e46b-48fa-882f-eb6b54e6516f_1.ba0a9995d9a3e912409471b0e1e29fd0.jpeg,worry greasy dishwasher wash dishwasher cleaner finish dishwasher cleaner helps clean hidden hard reach parts dishwasher effectively leaving shining condition dishwasher cleaner extensively cleans mold mildew hard water stains dishes sparkly clean cycle cycle use regular wash cycle making dishwashing tabs easy convenient cleans hidden vital parts dishwasher including spray arms filter contains 100 grease removal actives removes hard water stains lime scale build extra wash cycle use regular load wash cycle powers away hidden grease grime freshening machine,"household, essentials, cleaning, supplies, dishwashing, dish, additives, finish, worry, greasy, dishwasher, wash, dishwasher, cleaner, finish, dishwasher, cleaner, helps, clean, hidden, hard, reach, parts, dishwasher, effectively, leaving, shining, condition, dishwasher, cleaner, extensively, cleans, mold, mildew, hard, water, stains, dishes, sparkly, clean, cycle, cycle, use, regular, wash, cycle, making, dishwashing, tabs, easy, convenient, cleans, hidden, vital, parts, dishwasher, including, spray, arms, filter, contains, 100, grease, removal, actives, removes, hard, water, stains, lime, scale, build, extra, wash, cycle, use, regular, load, wash, cycle, powers, away, hidden, grease, grime, freshening, machine"
5.0,98.0,4.6,10,"beauty, hair, care, conditioner, leave, conditioner",sexy hair,sexy hair concepts healthy sexy hair triwheat leave in conditioner 85fl oz,149,https://i5.walmartimages.com/asr/125be654-1d2d-4552-9472-1d3e65ae1948_1.b569cb2657ac90c7608069f144416768.jpeg,sexy hair concepts healthy sexy hair tri wheat leave conditioner uses soy wheat cocoa revive hair natural ingredients leave conditioner help hair healthy reduce frizz harsh chemicals weaken locks suitable color treated hair dry delicate hair product moisturizes hair cocoa hair shinier easier style wheat proteins product help restore strengthen damaged hair wheat amino acids spray help add shine starches proteins soy wheat serve condition hair remove tangles giving smoother mane fruity citrus fragrance adds cheerful scent spray detangle smooth hair handy spray bottle long term results healing ingredients lightweight use fear flattening hair leaving sticky hair concepts healthy sexy hair tri wheat leave conditioner oz,"beauty, hair, care, conditioner, leave, conditioner, sexy, hair, sexy, hair, concepts, healthy, sexy, hair, tri, wheat, leave, conditioner, uses, soy, wheat, cocoa, revive, hair, natural, ingredients, leave, conditioner, help, hair, healthy, reduce, frizz, harsh, chemicals, weaken, locks, suitable, color, treated, hair, dry, delicate, hair, product, moisturizes, hair, cocoa, hair, shinier, easier, style, wheat, proteins, product, help, restore, strengthen, damaged, hair, wheat, amino, acids, spray, help, add, shine, starches, proteins, soy, wheat, serve, condition, hair, remove, tangles, giving, smoother, mane, fruity, citrus, fragrance, adds, cheerful, scent, spray, detangle, smooth, hair, handy, spray, bottle, long, term, results, healing, ingredients, lightweight, use, fear, flattening, hair, leaving, sticky, hair, concepts, healthy, sexy, hair, tri, wheat, leave, conditioner, oz"
60.0,55.0,4.2,59,"clothing, womens, clothing, womens, socks, hosiery, tights, womens, socks, socks",truform,womens stockings knee high sheer 1520 mmhg beige medium,151,https://i5.walmartimages.com/asr/5494cd58-75b5-4fe1-aae5-0ced7df68cea_1.f36d1a5a40095daa49f72d389db10d69.jpeg,,"clothing, womens, clothing, womens, socks, hosiery, tights, womens, socks, socks, truform,"
60.0,4.0,4.7,101,"personal, care, oral, care, denture, adhesive",fixodent,fixodent complete free denture adhesive cream 24 oz,167,https://i5.walmartimages.com/asr/bd0768d8-ec86-4566-9870-37924a2fa597_1.3d9da3a88f6abcd6f71b15c046be7da8.jpeg,fixodent gives power 1 dentist recommended denture adhesive brand data file helps prevent slipping helps food getting dentures gums great plate partial dentures fixodent complete free denture adhesive cream oz strong day hold satisfaction guaranteed powerful seal helps prevent food getting dentures gums helps prevent gum soreness comfortable denture fit 1 dentist recommended denture adhesive brand recommend brands adhesive great partial plate denture wearers,"personal, care, oral, care, denture, adhesive, fixodent, fixodent, gives, power, 1, dentist, recommended, denture, adhesive, brand, data, file, helps, prevent, slipping, helps, food, getting, dentures, gums, great, plate, partial, dentures, fixodent, complete, free, denture, adhesive, cream, oz, strong, day, hold, satisfaction, guaranteed, powerful, seal, helps, prevent, food, getting, dentures, gums, helps, prevent, gum, soreness, comfortable, denture, fit, 1, dentist, recommended, denture, adhesive, brand, recommend, brands, adhesive, great, partial, plate, denture, wearers"
57.0,4.0,4.6,5,"health, foot, care, tinactin, tinactin, creams, powder",tinactin,tinactin athletes foot antifungal treatment cream 05 ounce tube,169,https://i5.walmartimages.com/asr/61d435bc-333b-4780-8b8c-a218073fa8fd_2.f4ae1d7ac404e04283ac4dca4ee51097.jpeg,effective affordable tinactin athletes foot cream provides relief itching burning cracking skin caused tinea pedis tinea corporis suffer athletes foot ringworm tinactin goes smoothly easily rub odorless cream treatment athletes foot contains 1 tolnaftate proven clinically effective treatment athletes foot tinactin helps prevent recurring daily choose tougher fungus antifungal power tinactin tinactin athletes foot antifungal treatment cream ounce tube relieves itchy skin fast tinactin antifungal cream athletes foot fungus effectively relieves itching burning cracking cures prevents tinactin proven clinically effective treatment athletes foot helps prevent recurring daily directed contains tolnaftate 1 choose fungus treatment ingredient relieve itchy skin tinea pedis athletes foot fungal infection easy apply odorless aid cream treatment athletes foot goes smoothly nt stain nt rub clothes treats ringworm tinactin athletes foot cream tackles tinea pedis treats tinea corporis commonly known ringworm,"health, foot, care, tinactin, tinactin, creams, powder, tinactin, effective, affordable, tinactin, athletes, foot, cream, provides, relief, itching, burning, cracking, skin, caused, tinea, pedis, tinea, corporis, suffer, athletes, foot, ringworm, tinactin, goes, smoothly, easily, rub, odorless, cream, treatment, athletes, foot, contains, 1, tolnaftate, proven, clinically, effective, treatment, athletes, foot, tinactin, helps, prevent, recurring, daily, choose, tougher, fungus, antifungal, power, tinactin, tinactin, athletes, foot, antifungal, treatment, cream, ounce, tube, relieves, itchy, skin, fast, tinactin, antifungal, cream, athletes, foot, fungus, effectively, relieves, itching, burning, cracking, cures, prevents, tinactin, proven, clinically, effective, treatment, athletes, foot, helps, prevent, recurring, daily, directed, contains, tolnaftate, 1, choose, fungus, treatment, ingredient, relieve, itchy, skin, tinea, pedis, athletes, foot, fungal, infection, easy, apply, odorless, aid, cream, treatment, athletes, foot, goes, smoothly, nt, stain, nt, rub, clothes, treats, ringworm, tinactin, athletes, foot, cream, tackles, tinea, pedis, treats, tinea, corporis, commonly, known, ringworm"
3.0,1.0,4.5,1015,"personal, care, personal, care, brand, listerine",listerine,6 pack  listerine 24hr tooth sensitivity relief  protection alcoholfree formula sensitivity mouthwash fresh mint fl,212,https://i5.walmartimages.com/asr/67345dd6-ba89-45af-ab5a-ddc45f4aca3e_1.a587fe5da1f4bc5634c5113ac470bd4c.jpeg,pack 6 upc 312547235976 product description 24 hour relief painful tooth sensitivity continued use listerine sensitivity zero alcohol mouth rinse uniquely formulated tooth sensitivity mouthwash begins working immediately shield protect sensitive areas teeth unlike oral care sensitivity products numb nerve listerine sensitivity mouthwash crystal block technology works differently physically blocking 97 dentin tubules rinses treating tooth sensitivity source featuring refreshing fresh mint flavor alcohol free mouthwash reaches virtually 100 sensitive teeth areas gets hard reach areas mouth available 500 ml bottle approximately 1 month supply relief 2 weeks continued use laboratory studies 500 ml bottle listerine sensitivity zero alcohol mouth rinse fresh mint flavor unique alcohol free potassium oxalate formula designed shield protect sensitive areas teeth 24 hour sensitivity relief continued use listerine sensitivity mouthwash crystal block technology blocks painful teeth sensitivity source depositing crystals deep inside exposed dentin tubules lead sensitive nerve endings potassium oxalate alcohol free mouthwash starts working rinse uniquely formulated provide relief sensitivity enjoy foods cause sensitivity including hot cold acidic sensitivity mouthwash comes refreshing fresh mint flavor provides new way treat tooth sensitivity reaching virtually 100 sensitive teeth areas including hard reach areas mouth brushing miss protect shield sensitive areas teeth new uniquely formulated sensitive teeth mouthwash available 500 ml bottle approximately 1 month supply warnings reach children swallow event accidental swallowing medical help contact poison control center right away experience shedding cheek lining gum tissue initial use continues experience new pain discomfort irritation gum mouth issues stop use dentist use printed listerine band cap broken,"personal, care, personal, care, brand, listerine, listerine, pack, 6, upc, 312547235976, product, description, 24, hour, relief, painful, tooth, sensitivity, continued, use, listerine, sensitivity, zero, alcohol, mouth, rinse, uniquely, formulated, tooth, sensitivity, mouthwash, begins, working, immediately, shield, protect, sensitive, areas, teeth, unlike, oral, care, sensitivity, products, numb, nerve, listerine, sensitivity, mouthwash, crystal, block, technology, works, differently, physically, blocking, 97, dentin, tubules, rinses, treating, tooth, sensitivity, source, featuring, refreshing, fresh, mint, flavor, alcohol, free, mouthwash, reaches, virtually, 100, sensitive, teeth, areas, gets, hard, reach, areas, mouth, available, 500, ml, bottle, approximately, 1, month, supply, relief, 2, weeks, continued, use, laboratory, studies, 500, ml, bottle, listerine, sensitivity, zero, alcohol, mouth, rinse, fresh, mint, flavor, unique, alcohol, free, potassium, oxalate, formula, designed, shield, protect, sensitive, areas, teeth, 24, hour, sensitivity, relief, continued, use, listerine, sensitivity, mouthwash, crystal, block, technology, blocks, painful, teeth, sensitivity, source, depositing, crystals, deep, inside, exposed, dentin, tubules, lead, sensitive, nerve, endings, potassium, oxalate, alcohol, free, mouthwash, starts, working, rinse, uniquely, formulated, provide, relief, sensitivity, enjoy, foods, cause, sensitivity, including, hot, cold, acidic, sensitivity, mouthwash, comes, refreshing, fresh, mint, flavor, provides, new, way, treat, tooth, sensitivity, reaching, virtually, 100, sensitive, teeth, areas, including, hard, reach, areas, mouth, brushing, miss, protect, shield, sensitive, areas, teeth, new, uniquely, formulated, sensitive, teeth, mouthwash, available, 500, ml, bottle, approximately, 1, month, supply, warnings, reach, children, swallow, event, accidental, swallowing, medical, help, contact, poison, control, center, right, away, experience, shedding, cheek, lining, gum, tissue, initial, use, continues, experience, new, pain, discomfort, irritation, gum, mouth, issues, stop, use, dentist, use, printed, listerine, band, cap, broken"
43.0,8.0,4.7,474,"personal, care, oral, care, kids, oral, care",oral b,oralb disney star wars kids battery toothbrush extra soft bristles,214,https://i5.walmartimages.com/asr/9010c28a-96e0-4631-8f4d-4132598f6961.ca82c0616c2313f8b49d062d1d57671e.jpeg,oral b kids battery powered toothbrush featuring star wars perfect battery powered toothbrush little jedi oral health evolves lose baby teeth important continue effective cavity protection growing permanent teeth toothbrush features added benefit battery power help brushing routine best battery powered toothbrush compatible interactive disney magictimer app oral b help kids brush dentist recommended 2 minutes oral b 1 dentist recommended toothbrush brand worldwide oral b kids disney star wars extra soft bristle battery powered electric tooth brush kids 3 rotating power head reaches surrounds thoroughly cleans multiple surfaces raised center row bristles help clean chewing surfaces extra soft bristles clean gently soft manual brush compatible disney magictimer app oral b help kids brush longer starting today makes brushing fun featuring star wars characters kids battery toothbrush children ages 3 oral b 1 dentist recommended toothbrush brand worldwide,"personal, care, oral, care, kids, oral, care, oral, b, oral, b, kids, battery, powered, toothbrush, featuring, star, wars, perfect, battery, powered, toothbrush, little, jedi, oral, health, evolves, lose, baby, teeth, important, continue, effective, cavity, protection, growing, permanent, teeth, toothbrush, features, added, benefit, battery, power, help, brushing, routine, best, battery, powered, toothbrush, compatible, interactive, disney, magictimer, app, oral, b, help, kids, brush, dentist, recommended, 2, minutes, oral, b, 1, dentist, recommended, toothbrush, brand, worldwide, oral, b, kids, disney, star, wars, extra, soft, bristle, battery, powered, electric, tooth, brush, kids, 3, rotating, power, head, reaches, surrounds, thoroughly, cleans, multiple, surfaces, raised, center, row, bristles, help, clean, chewing, surfaces, extra, soft, bristles, clean, gently, soft, manual, brush, compatible, disney, magictimer, app, oral, b, help, kids, brush, longer, starting, today, makes, brushing, fun, featuring, star, wars, characters, kids, battery, toothbrush, children, ages, 3, oral, b, 1, dentist, recommended, toothbrush, brand, worldwide"
